,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
189,2017,Deshaun Watson,12,2019-09-15,W,16,29,159,0,0,70.9,4,4,5,1,2
190,2017,Deshaun Watson,12,2019-09-22,W,25,34,351,3,0,135.8,2,7,18,0,1
191,2017,Deshaun Watson,12,2019-09-29,L,21,33,160,0,0,75.3,6,3,12,1,1
192,2017,Deshaun Watson,12,2019-10-06,W,28,33,426,5,0,158.3,0,4,47,0,2
193,2017,Deshaun Watson,12,2019-10-13,W,30,42,280,1,2,77.5,0,10,42,2,0
194,2017,Deshaun Watson,12,2019-10-20,L,23,34,308,1,2,81.5,3,3,32,0,0
195,2017,Deshaun Watson,12,2019-10-27,W,27,39,279,3,0,115.2,3,10,46,0,0
196,2017,Deshaun Watson,12,2019-11-03,W,22,28,201,2,0,120.4,1,7,37,0,0
197,2017,Deshaun Watson,12,2019-11-17,L,18,29,169,0,1,63.7,6,3,12,0,1
198,2017,Deshaun Watson,12,2019-11-21,W,19,30,298,2,1,104.6,1,3,10,0,1
199,2017,Deshaun Watson,12,2019-12-01,W,18,25,234,3,0,140.7,3,4,-1,0,0
200,2017,Deshaun Watson,12,2019-12-08,L,28,50,292,1,2,63.1,3,6,44,2,0
201,2017,Deshaun Watson,12,2019-12-15,W,19,27,243,2,2,92.1,1,7,32,0,1
202,2017,Deshaun Watson,12,2019-12-21,W,19,32,184,0,1,62.5,5,7,37,0,1
203,2017,Deshaun Watson,12,2020-09-10,L,20,32,253,1,1,84.5,4,6,27,1,0
204,2017,Deshaun Watson,12,2020-09-20,L,25,36,275,1,1,89.5,4,5,17,0,0
205,2017,Deshaun Watson,12,2020-09-27,L,19,27,264,2,1,110.7,5,1,5,0,0
206,2017,Deshaun Watson,12,2020-10-04,L,20,33,300,2,0,110.7,3,5,9,0,2
207,2017,Deshaun Watson,12,2020-10-11,W,25,35,359,3,2,109.1,1,2,25,0,0
208,2017,Deshaun Watson,12,2020-10-18,L,28,37,335,4,0,138.9,2,4,26,0,0
209,2017,Deshaun Watson,12,2020-10-25,L,29,39,309,2,0,114.2,3,7,38,0,0
210,2017,Deshaun Watson,12,2020-11-08,W,19,32,281,2,0,109.0,2,10,50,0,1
211,2017,Deshaun Watson,12,2020-11-15,L,20,30,163,1,0,91.4,2,8,36,0,0
212,2017,Deshaun Watson,12,2020-11-22,W,28,37,344,2,0,121.9,0,6,36,1,0
213,2017,Deshaun Watson,12,2020-11-26,W,17,25,318,4,0,150.4,2,8,24,0,0
214,2017,Deshaun Watson,12,2020-12-06,L,26,38,341,0,1,85.5,5,7,38,1,2
215,2017,Deshaun Watson,12,2020-12-13,L,21,30,219,1,0,101.9,6,7,38,0,0
216,2017,Deshaun Watson,12,2020-12-20,L,33,41,373,2,0,120.8,5,6,25,0,1
217,2017,Deshaun Watson,12,2020-12-27,L,24,33,324,3,0,133.9,1,5,38,0,2
218,2017,Deshaun Watson,12,2021-01-03,L,28,39,365,3,1,115.9,4,3,12,0,0
219,2017,Deshaun Watson,12,2022-12-04,W,12,22,131,0,1,53.4,1,7,21,0,0
220,2017,Deshaun Watson,12,2022-12-11,L,26,42,276,1,1,79.1,2,6,33,0,0
221,2017,Deshaun Watson,12,2022-12-17,W,18,28,161,1,0,91.5,3,6,22,0,0
222,2017,Deshaun Watson,12,2022-12-24,L,15,31,135,0,1,47.1,2,3,24,1,0
223,2017,Deshaun Watson,12,2023-01-01,W,9,18,169,3,0,122.5,5,8,31,0,0
224,2017,Deshaun Watson,12,2023-01-08,L,19,29,230,2,2,84.0,7,6,44,0,1
225,2017,Deshaun Watson,12,2023-09-10,W,16,29,154,1,1,67.3,3,5,45,1,1
226,2017,Deshaun Watson,12,2023-09-18,L,22,40,235,1,1,70.3,6,6,22,0,2
227,2017,Deshaun Watson,12,2023-09-24,W,27,33,289,2,0,123.4,3,4,16,0,1
228,2017,Deshaun Watson,12,2023-10-22,W,1,5,5,0,1,0.0,0,0,0,0,0
229,2017,Deshaun Watson,12,2023-11-05,W,19,30,219,2,0,107.5,1,3,22,0,0
