,Name,Draft Pick,Date,Game Result (W/L),Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
261,Jalen Hurts,53,2024-01-07,L,7,16,55,0,1,26.8,2,2,4,0,0
262,Jalen Hurts,53,2024-09-06,W,20,34,278,2,2,80.3,2,13,33,0,2
263,Jalen Hurts,53,2024-09-16,L,23,30,183,1,1,88.6,1,13,85,1,0
264,Jalen Hurts,53,2024-09-22,W,29,38,311,0,1,88.8,4,8,25,0,1
265,Jalen Hurts,53,2024-09-29,L,18,30,158,1,0,85.1,6,8,20,1,2
266,Jalen Hurts,53,2024-10-13,W,16,25,264,2,0,126.1,1,14,33,0,0
267,Jalen Hurts,53,2024-10-20,W,10,14,114,1,0,119.3,4,7,22,2,0
268,Jalen Hurts,53,2024-10-27,W,16,20,236,1,0,132.5,0,10,37,3,0
269,Jalen Hurts,53,2024-11-03,W,18,24,230,2,0,132.3,3,13,67,1,0
270,Jake Fromm,167,2021-12-26,L,6,17,25,0,1,19.5,2,3,12,0,1
271,Jake Fromm,167,2022-01-09,L,15,31,103,1,2,40.1,3,5,53,0,1
272,Jake Luton,189,2020-11-08,L,26,38,304,1,1,90.2,2,1,13,1,1
273,Jake Luton,189,2020-11-15,L,18,35,169,1,1,62.7,3,0,0,0,0
274,Jake Luton,189,2020-11-22,L,16,37,151,0,4,15.5,2,0,0,0,1
275,Ben DiNucci,231,2020-11-01,L,21,40,180,0,0,64.6,4,5,22,0,2
